patent_id,num_figures,num_sheets
7560223,21,17
10319307,42,29
D910720,7,7
9908772,6,4
6805417,9,8
11034324,20,17
PP12847,8,3
6542328,10,6
10768058,18,17
10218993,13,13
6475263,0,0
11322869,13,7
D423875,4,1
9998635,6,5
8600507,13,10
8280877,6,6
RE31302,8,4
11348594,12,11
7378647,13,3
7748838,10,5
8764429,11,3
7367236,8,4
10492237,13,9
10137279,17,16
11169515,7,6
8537825,21,20
5071307,11,7
7643501,3,3
6912573,20,14
5095958,8,2
D544516,7,4
11270781,9,9
10831071,6,6
8412434,9,6
7391037,13,7
D379686,6,2
6688148,4,4
9714413,42,21
4363933,3,3
6285048,14,8
4597109,5,1
5306363,2,1
8167614,7,7
7013604,12,12
6183494,1,1
D821938,9,9
9911670,300,195
9659039,5,5
4394193,4,1
7443072,14,6
6170159,12,5
11146125,11,4
D580488,5,3
4100498,5,3
8620808,4,4
10408975,4,4
4232975,10,5
7831750,8,8
8651388,11,9
6760849,6,3
7172420,2,2
4000157,1,1
11332494,18,18
4663468,4,4
D634964,7,7
6093019,4,6
5781237,11,11
D795008,7,2
9115614,23,14
9368017,4,4
4867921,6,1
11084131,7,5
4133497,5,1
4954183,3,2
7390870,10,10
5375216,7,7
10435189,16,14
4443523,2,2
8289779,6,5
7561151,18,18
9745793,22,12
6029524,14,10
10046543,17,8
7159019,10,10
D609265,7,4
11411098,10,10
8851717,17,6
7361729,8,4
5536004,8,4
7355438,4,3
11415145,7,7
6716467,5,3
D329096,7,4
4556816,3,2
8693032,6,6
6512197,2,2
4991124,2,2
8971515,6,6
7689884,10,7
5884588,4,2
7040737,37,26
D789974,20,20
5678202,5,4
D806441,6,6
5394020,2,2
6475456,9,4
10842465,17,11
7109851,2,2
7528784,24,12
D484289,7,7
5115421,12,4
D957630,8,8
4004441,5,2
6304780,29,19
7824292,5,3
8430627,10,2
10252300,23,21
8213835,9,8
D253321,6,1
7115675,2,1
11024810,3,2
8298463,8,7
4132187,2,1
7416711,4,4
6570607,5,3
7918864,15,7
11150648,9,9
9131157,13,10
6273453,8,4
4078931,3,1
4466330,2,2
7908652,14,10
11195232,19,19
10423350,5,5
4616543,3,2
11314563,15,14
8734612,18,13
5786620,33,21
8107335,29,19
4808558,4,1
6307501,4,2
6195729,3,3
5851984,4,2
D893082,8,8
7158690,25,16
5984003,4,3
10494701,4,4
6590543,4,4
5040485,5,4
5183447,5,2
8946285,43,24
4706517,10,6
D746465,6,6
D864061,10,10
7083926,2,2
9086348,33,25
D526673,7,3
6564208,3,3
9091338,14,13
8108315,8,6
8767304,21,15
7512047,4,3
D440090,8,4
7873233,8,6
10801382,9,5
8889883,10,10
10431690,33,10
11048381,3,3
D500378,14,11
7393084,15,7
10321882,7,5
6935940,19,2
4186235,1,1
11428991,29,25
4372431,10,6
10231191,13,13
8739219,22,18
5781874,8,4
8635213,16,11
5268631,27,21
11318145,1,1
7921683,4,4
5205109,9,2
8572669,12,12
10421318,4,2
9516601,17,17
9320043,7,6
10040004,2,2
11354346,9,9
5073004,8,3
6149043,9,5
9945831,6,5
10939848,18,14
5701966,12,5
4436555,3,3
4654909,5,1
5243947,23,18
D851555,4,4
4149649,5,2
6194798,13,8
D363892,4,1
8191906,6,5
8845475,7,5
8065583,5,5
7264681,9,9
6919332,0,0
10314375,8,8
D262708,6,3
9903866,6,6
6370150,1,1
6103128,1,1
D406097,8,2
7886393,5,5
4673314,4,2
6067565,26,21
3956464,7,4
5576536,15,12
6040644,1,1
10233539,8,4
6995878,4,4
9499889,3,3
6112254,4,4
10818247,12,8
10859893,20,20
7707314,9,9
D663472,5,5
11169110,10,5
7510739,17,10
8403539,12,12
11287327,4,4
10726000,9,8
D575222,6,6
6442736,9,6
11275140,4,4
9550672,3,2
D704294,19,17
D778870,16,9
6550245,8,8
8135906,4,4
D276245,1,1
6750764,12,7
D458334,7,2
11431177,6,5
5020547,5,2
9788031,16,14
10333393,9,6
10789565,8,8
4845839,3,1
4550727,4,2
D525295,16,10
9451672,38,19
10922612,17,17
8660014,4,4
9253563,4,2
9747152,8,7
5606954,15,14
10553793,25,14
5767442,6,2
7521951,24,12
7994884,7,7
11254551,9,9
6576666,0,0
4793250,8,6
4697159,6,2
4099746,4,2
6593350,0,0
7961922,10,7
6541501,0,0
5749119,6,4
10727415,3,2
9977048,4,2
4356724,10,4
11242145,6,6
11361328,4,3
6602130,12,8
D413138,10,8
9809842,10,9
7544451,3,2
4583678,9,3
10633733,2,2
5938708,5,5
6785332,1,1
10023631,14,10
9083492,9,4
D792355,9,9
6943512,18,8
4144897,5,1
D679818,6,3
7667687,14,10
5926349,11,6
5927514,6,4
7641424,9,9
10298037,19,9
5810437,11,6
6558995,11,6
9470803,12,6
D860390,7,7
5831632,24,10
8903042,19,16
11234477,26,21
8890336,27,11
8664097,28,9
11300219,10,9
4641730,8,2
4492128,3,4
4680515,10,5
9367672,10,10
7492400,11,7
9001878,31,17
10670819,10,7
9493360,4,4
8534058,5,5
9499071,10,10
5361324,5,5
8906359,27,27
10162139,40,20
8522381,8,8
7837130,18,14
11013335,31,16
7280511,6,4
7917957,1,1
4952762,9,3
8570822,7,7
8437401,8,7
6540373,11,9
5270632,12,9
7488540,1,1
5137087,9,3
7290016,3,3
7353263,28,24
D447769,7,1
4899845,10,5
9983662,4,2
9539210,83,53
D601356,6,6
9928966,8,6
7199672,4,3
6828537,14,5
6884427,12,9
11347797,7,7
7875181,20,12
4846542,6,4
11015415,7,4
9047734,16,16
6324511,9,8
5598766,3,2
10459798,11,6
11446283,6,6
D589156,7,7
8030057,25,12
4574219,24,12
D342660,4,1
6472339,0,0
6986026,5,5
11120572,10,6
5391655,1,1
8915570,4,4
4637570,2,1
8525789,13,7
5879129,14,8
5612231,14,9
8417935,11,7
8162883,16,16
8477116,12,7
D432251,1,1
5199230,8,2
10893530,1,7
7951939,1,1
8407262,13,13
D774501,8,4
D802404,8,5
8379442,9,8
4655205,3,1
6045248,9,9
6304117,46,44
5981125,9,7
D358801,7,4
10408295,10,6
D856879,9,9
5996067,10,11
7579865,5,4
D541421,10,2
9711811,7,4
7512467,11,6
7953077,5,5
10275175,8,8
6837575,8,6
8577139,6,6
6661256,9,5
5942710,21,13
7039922,11,11
10442814,11,10
D464186,6,5
4129779,4,2
8968813,4,2
8607751,6,6
7564044,20,8
8739049,16,15
4994654,4,2
10136678,5,2
6906204,0,0
9796574,22,11
10498701,6,6
10521461,5,5
11328409,18,17
7273040,17,9
5099887,3,1
4032302,4,2
10049486,6,6
7916389,16,8
10789903,15,8
8116859,8,4
8768174,17,8
3982561,4,1
10547237,18,16
4379626,4,2
11393894,11,11
6483915,8,5
4438674,3,1
7789084,3,2
D518370,5,3
10136730,26,12
9769253,15,12
D393372,6,2
5468113,13,10
9245905,17,7
4606403,5,4
4565995,5,3
4135221,50,14
7912840,3,2
D625524,4,4
8934594,17,14
7705861,5,5
5425001,3,3
9300116,10,4
9862023,13,6
9235991,23,11
10883871,4,2
10637861,11,10
8860730,22,21
5384774,4,3
8508193,2,2
8656634,13,7
10825280,20,10
10662394,6,5
D606033,8,8
8067294,29,8
9770071,11,3
4401615,2,2
7151917,15,13
7758075,13,13
10291896,5,4
10103187,5,4
6158949,4,3
5618191,8,8
6810769,7,3
5204262,1,1
D746753,2,2
10800899,4,2
10568484,7,5
5426534,9,9
D572389,6,6
4095353,4,2
4660427,10,5
4124843,10,7
5134081,9,4
D265388,1,1
7060345,9,3
10636604,36,23
D431467,4,1
5293326,10,5
9047889,17,10
4406296,13,5
5805504,8,8
8887263,4,4
9529573,8,8
D476248,1,1
9708127,4,2
5357952,5,2
9591072,16,12
7012816,12,8
6786233,26,13
5213005,15,8
7172504,6,2
4360031,9,4
6503225,6,2
6018288,22,7
6028873,28,15
9154979,8,8
D823527,7,5
D382147,6,3
7472350,16,12
7233018,21,11
6202664,6,3
D441676,1,1
9065836,5,5
8306636,7,7
8725810,6,6
D623025,8,2
6917061,6,6
9477728,9,9
11220190,3,3
10123480,9,9
9268370,7,7
6119828,13,6
D404133,6,2
5387780,11,9
8350627,18,16
8253412,3,2
5393340,4,2
8217709,7,7
4971923,9,3
4438437,6,3
6893931,8,4
4791532,11,2
9865696,29,8
8938493,6,5
9644078,5,2
10265227,12,10
8412133,9,9
8930420,4,2
5861480,15,15
9909067,16,11
10062928,3,2
4398906,5,1
6703666,16,16
9848942,1,1
10528654,14,14
6814649,12,7
7838970,8,3
4042220,22,10
5790363,4,2
8308366,5,5
8100569,38,15
9027722,35,20
5838625,6,3
6758925,12,7
5647411,5,2
7886848,14,10
6608349,5,3
D254199,6,2
7704084,10,7
7407168,7,7
9563484,3,3
8598618,2,1
9135354,33,33
11161639,9,9
6388538,6,3
5467448,67,67
4481840,9,3
9831333,23,12
8703684,1,1
5992428,4,1
D589799,3,1
4332232,4,1
6338017,8,8
D711895,40,10
11195526,14,9
10891353,5,5
D368166,5,3
5267370,6,4
8803951,4,4
8654890,30,9
8327645,31,18
10478058,8,7
9772870,4,4
9194597,11,11
8419549,49,47
6907818,6,6
9795525,15,8
9789649,4,4
10831837,7,6
10834586,9,9
4461225,6,2
5517775,7,4
7273715,4,4
8141438,10,6
D700247,2,2
10320067,28,27
5629980,20,13
7681581,43,43
10272489,10,10
5689479,28,10
6066988,33,13
8473247,4,4
4535499,12,3
4255055,5,3
9863798,23,23
8331200,6,6
4432118,7,3
7821187,11,8
10148006,1,1
8087635,7,4
8397764,15,5
5644725,25,21
4093009,4,1
10482806,18,9
8438394,9,8
10162155,27,27
10838750,4,4
5937856,5,2
D321696,6,4
5430518,16,14
6179769,21,15
D255644,4,1
5062931,9,3
4762374,5,1
5714186,9,6
11352472,1,1
10617672,31,27
8066010,26,15
5371637,4,3
7967065,4,3
9778622,7,7
10260025,5,5
6772184,6,6
11281309,15,9
9755334,14,7
PP4933,2,1
6261814,9,6
4582347,5,2
4304765,4,1
8728187,15,7
8428844,21,21
8774980,2,2
5435650,10,5
10829536,25,11
10863230,16,16
10282301,12,12
5129558,8,2
11247493,8,4
4034157,8,1
6455379,11,11
6115506,9,6
11161836,7,4
7266722,15,15
9411765,5,5
4319303,9,2
4793407,6,3
11161592,18,11
8032635,9,9
D953307,8,8
10027249,3,3
9308074,10,4
6116744,3,2
5680106,17,12
11148806,9,8
8978713,10,5
6599894,0,0
6922228,8,8
4724780,6,5
9034761,12,12
D762995,16,6
9577871,8,7
4317027,1,1
8651091,21,17
9020222,1,1
8941450,35,12
10372367,42,42
4012173,3,1
8432964,4,4
11225935,3,2
8556078,34,11
10897239,12,7
9920470,4,4
6093065,9,2
8052119,6,3
11025667,7,6
8124811,9,6
D429229,8,4
10498347,14,7
5730195,1,1
5577601,10,6
9277468,16,15
5295462,3,3
11327572,1,1
10095371,10,10
4033618,4,1
5163775,7,3
7104763,7,7
D943791,8,8
D452879,11,3
D351657,7,2
10891422,8,8
9318543,7,4
10337443,6,6
4393521,8,1
6019676,4,1
D828110,14,14
9687849,9,9
5252132,14,10
5785433,15,7
11020530,7,7
4821851,5,2
10895985,7,7
7533146,6,5
8399989,91,91
9768469,3,3
10249588,11,9
D322655,6,3
10593088,6,5
11351947,13,13
11138878,7,6
5102020,6,3
5408699,10,5
9457096,13,12
9405924,8,8
5273717,5,5
4883699,2,2
10031932,6,5
7897006,3,1
8042168,4,4
5216950,3,3
8516918,7,3
D493546,5,4
7341555,239,64
10743824,11,11
7520096,10,9
9060764,43,12
8652601,4,3
8861390,10,10
5875789,11,8
D306320,6,2
7711101,5,5
9510576,4,4
9115816,32,16
8123834,38,27
PP5338,3,3
9209044,28,14
7424309,2,2
5416483,18,11
4404243,3,1
7440918,2,2
11332099,39,34
D932991,3,3
11046504,23,21
4182156,2,2
D490196,7,7
7368304,17,15
10087523,2,2
5110330,4,1
4596027,6,2
5880036,6,3
7676034,8,7
D567027,6,6
9234538,12,9
8017853,2,2
6191419,7,3
8247484,3,3
9027057,6,6
5666919,109,65
4637304,14,8
9213913,6,6
6334477,9,5
5868886,6,2
8752035,8,7
7822471,13,12
7881472,10,9
8776536,9,4
6971860,14,9
5950467,5,5
7748518,5,5
9716508,15,14
9443373,13,6
11271241,6,6
11319774,16,11
8571350,8,7
D320900,4,2
8334638,23,19
10826730,11,8
8837173,7,5
9601934,15,15
6267930,14,13
6504543,44,13
6642035,3,3
4999492,2,2
7960808,5,4
4679791,13,4
4936251,3,2
6152738,7,6
10223772,17,14
10278914,7,4
11310430,3,3
6415538,7,2
4235493,21,4
10897675,8,7
9292510,36,33
7523768,4,2
4652472,3,1
10566037,10,7
5352986,10,8
8782030,5,4
8526550,2,2
6367862,11,10
10411186,15,8
7748840,43,42
8719996,26,9
11361332,7,6
10109331,20,20
9312755,15,8
6151858,1,1
6050051,4,2
D956191,3,2
5590242,17,7
9723364,9,8
5268267,6,23
PP22570,2,2
10762505,11,11
9568380,41,21
D645876,1,1
10929772,7,7
5529100,12,11
4188906,5,3
7444987,5,3
6884410,28,20
8883710,7,7
4253298,11,5
11416202,31,25
4504248,7,3
6154235,20,13
D649733,10,7
9976222,6,6
D410928,6,1
5596417,36,11
5471816,22,9
10761431,76,45
8986555,10,10
9182689,1,1
9425585,5,3
9522713,3,2
10923050,23,14
4596563,4,1
6795228,9,7
4644198,2,2
7285917,5,5
6709838,32,27
9734869,4,3
D458079,6,6
9775635,27,20
6288326,15,5
D778455,11,11
7815393,11,6
6828821,8,5
6375655,21,11
6683009,1,1
9858358,6,5
9025265,17,9
7788091,13,9
9506035,15,3
6844572,19,15
11034944,24,25
8460334,16,10
D484590,6,1
5598712,30,23
10154415,21,12
8510816,5,5
D707960,8,7
10879327,86,36
4944841,2,2
6951972,1,1
9423263,15,13
9397731,15,7
9348246,4,2
8205050,9,9
10899824,10,5
10342777,14,7
10354657,1,1
10057401,13,13
5715429,142,90
4567082,3,1
6208395,98,62
5041246,4,3
11379722,6,6
5200170,3,1
5247420,8,7
7456617,16,9
5105634,8,3
4088130,7,2
9064888,10,10
8902195,21,17
D734291,7,7
5490958,17,9
10646283,19,17
5300558,4,2
6225964,10,10
8821087,9,9
4385136,1,1
9315002,4,4
10556444,11,9
6335756,8,4
3952950,5,3
5317231,3,2
6123700,23,7
7540289,33,16
8597043,31,14
4202916,1,1
5116360,2,1
4350171,13,4
D258006,5,1
9534097,5,4
4487750,3,2
7672607,10,9
9905119,8,8
7406331,10,5
9445819,9,7
6504910,2,2
7233413,17,13
6934455,25,6
5957286,7,4
6353250,41,37
8862985,13,13
7602562,2,2
9965926,34,34
6053549,4,2
6942722,3,3
RE29133,10,1
7906250,8,2
10981417,8,8
10536874,5,5
9923996,9,8
9345641,148,108
5002298,4,1
7779403,5,5
10038508,7,6
6530242,7,7
10769355,12,12
D386885,7,2
9058965,6,6
10989614,9,9
5354042,4,4
3937094,4,1
D756119,6,5
7350869,3,2
7795716,11,5
6446894,6,5
7233132,8,5
10289879,28,25
7380944,201,38
6253561,15,7
11385281,11,7
9906176,7,7
9003467,6,5
5355180,5,4
6892005,21,5
8987054,20,10
6699419,1,1
D500327,14,12
6757883,2,2
10352772,4,2
8315661,5,5
11333180,19,14
9751311,11,11
5690132,6,4
8369473,5,2
7860615,72,72
D314960,7,3
7960315,3,3
7989748,41,39
9329979,4,4
10221981,24,10
6676661,3,3
5996271,4,1
10944080,11,11
8453343,2,2
5635110,1,1
9421377,8,7
6312248,5,3
D518142,5,5
10638163,9,5
6281911,12,11
10987227,48,35
11282186,19,10
6509364,6,6
9958444,16,12
10307493,11,6
9546812,67,29
6576222,1,1
D412387,7,2
5133717,7,3
8274044,8,8
4768831,4,3
D546706,3,2
10401142,17,16
4036201,8,2
6714313,16,16
6607361,5,4
7076450,21,21
9793130,16,10
D816605,7,7
11245792,4,4
D286529,6,2
D505761,7,7
10066423,55,30
5314632,4,4
7845491,47,26
RE40220,9,8
4402489,3,1
9249496,11,7
10974037,5,5
9504441,10,9
7381881,6,6
5583926,14,14
D771017,7,7
7024744,4,2
8103948,10,10
7098617,7,3
D443789,2,2
D564286,6,4
9915168,7,5
5360397,7,4
11395761,16,10
4073413,2,1
6386764,7,3
D291677,11,4
5388298,31,16
10786693,22,20
D797572,8,6
D281179,4,2
6096528,5,5
6039988,2,1
9111428,6,6
7432487,9,6
8519077,10,7
10503710,7,6
5401513,8,4
9190677,12,12
D731763,7,7
9388656,12,12
6324824,5,3
8960584,4,2
5572287,8,6
9722207,9,9
11012753,8,8
10392097,9,5
10752628,18,18
10610283,15,9
7594797,15,11
5245216,10,5
D597903,5,2
7261555,6,6
4168692,10,3
8478574,21,11
4512193,4,2
4548835,9,5
8237598,51,19
7490423,22,11
8500737,46,6
8452060,29,21
10181715,9,6
8184712,47,42
6679955,8,4
8145369,28,27
RE41137,15,15
7838171,9,3
9683397,6,4
4804237,10,6
7429614,7,4
9902049,21,11
9843827,23,23
10580101,16,10
9869235,20,16
10902428,6,6
9439937,11,6
9760922,12,8
10461020,31,25
7476903,34,13
8388462,6,5
4666581,6,3
4975612,4,2
11220855,36,14
8605940,16,13
11272601,8,7
11167076,17,14
4783034,13,4
10770856,5,2
7063042,11,6
9673397,1,1
8871165,2,2
9991017,33,18
9092663,23,22
D920901,10,10
9549418,11,11
10850856,8,4
9042133,7,4
7494240,13,11
6256484,4,3
4563678,2,1
7368630,162,162
11243301,26,16
D439879,7,5
11219136,22,22
5918926,31,20
7009828,30,23
D754593,3,3
D475329,7,3
D739823,8,6
9073520,8,6
4267545,7,7
8030539,8,8
8966635,6,4
5917544,9,5
7057622,37,37
7968296,12,12
6873149,3,3
7936105,15,5
4660535,15,10
7111387,36,20
5085745,1,1
8941478,4,2
8464630,28,20
10646599,6,6
11205948,5,4
8538200,7,7
10317364,34,21
10815099,5,2
10966899,17,15
5871931,29,29
10444979,24,20
9933259,6,5
5064974,3,2
6131218,6,6
10918914,25,10
9208810,15,6
6021844,25,14
D769546,7,5
D272994,6,1
9109582,19,18
7384793,18,18
6038660,10,7
9024510,4,4
8348024,12,12
4932240,6,3
5832297,71,62
RE48117,201,92
7569887,13,10
6819178,6,4
9746431,19,15
8846417,9,9
4606651,2,1
6752504,12,12
9152067,1,1
8742556,20,16
9987156,16,15
9646251,5,5
11438080,15,15
10056058,4,4
5396610,36,25
10544566,15,8
7226374,9,5
11271048,11,9
6545531,6,5
D865684,6,4
6577974,2,2
6585590,6,6
5871354,7,4
D707178,26,13
10051519,31,23
9200982,6,6
5705577,5,5
10610596,4,4
D480826,8,4
8444840,5,3
5058946,8,2
9599922,14,11
10717956,31,24
D566323,7,2
10074986,7,4
8467502,17,17
5054409,5,1
7113315,9,8
7492043,8,6
D607189,6,6
4302777,1,1
10172948,11,9
4559805,12,6
11177857,5,5
4567488,13,6
7661967,10,5
7012665,25,11
6852406,14,7
8224489,9,9
9314559,14,14
5054098,15,6
D591265,8,3
7063274,8,6
7899174,6,5
7558149,14,8
4940101,6,1
5560120,9,4
D271743,5,2
4196530,14,14
6351990,4,2
9572062,6,5
D928216,8,8
11100188,9,9
8350707,3,3
D809094,7,5
PP31886,1,1
10471734,19,19
6644884,11,6
10213862,5,3
10500774,24,13
D341142,10,2
10049267,10,10
5427243,10,4
9032795,11,8
6818801,8,4
4505407,4,1
7678570,5,3
11070580,6,6
7950602,11,10
6441948,4,2
5633802,128,128
4858740,5,1
D722739,6,5
8896926,5,5
8160193,16,15
5552105,23,18
7370048,12,7
7242726,67,63
D860337,14,8
8548601,15,11
11189571,11,11
11357180,8,8
6973422,7,7
7764594,8,8
8955509,17,14
8977621,53,20
10878811,17,8
D470506,7,4
11260148,8,6
4897076,9,4
4123216,4,2
4985685,3,2
6765013,11,11
6456736,6,6
9485520,19,13
D792766,10,3
6772008,4,3
5303733,7,7
4284115,17,5
8765442,8,5
4908551,6,2
8917757,12,10
4949388,23,13
D852816,1,1
4640027,7,4
11034169,7,6
RE41315,0,0
7524349,24,19
10048809,11,8
11147976,7,6
D303430,7,2
11215215,18,7
9685049,4,4
10272985,1,1
6005239,16,9
8152684,3,2
5173166,7,3
4389956,8,4
8880106,13,9
11139678,6,5
9937773,11,11
7978247,16,8
7332279,5,5
10888332,7,6
6221290,8,2
8145789,29,27
7670906,6,3
4129821,11,10
8879242,22,22
7716863,2,2
5898347,1,1
8104164,5,5
5544587,3,2
6576015,6,1
11243953,8,8
8049697,9,9
10090321,38,37
D301085,9,2
D479584,8,3
7336226,6,3
4103856,14,3
6906092,0,0
8314722,4,2
D716096,7,7
5041815,5,1
10004618,93,58
5903919,8,4
10073800,17,17
D260860,11,2
5799606,8,3
4706587,4,4
10646400,14,14
5794642,1,1
8199273,6,4
4538036,3,1
7230666,46,25
10110336,12,12
8389105,9,8
7357947,2,2
8559689,14,10
5700133,3,2
10659064,9,6
7994311,17,10
9695070,8,8
10553019,6,5
4713584,1,1
4802557,5,3
7946867,4,4
6780200,7,3
7011444,60,49
7203495,34,32
8265014,6,3
5528057,12,6
9569933,4,4
6252932,3,3
9747699,23,19
9106211,28,15
7525013,7,4
9557508,26,24
5765526,9,9
10201288,16,6
8970960,25,20
5993263,5,3
8815529,11,7
4708286,5,3
9792646,7,7
5020341,2,1
7198700,1,1
D340171,6,3
D595386,11,6
5805209,34,31
6707618,0,5
7710031,15,6
D791698,7,6
D735572,7,4
5933549,14,9
6456187,15,15
7969683,29,13
9894494,5,4
9682180,179,52
10060875,14,15
D301110,17,5
8692419,7,6
D638649,7,6
11411127,18,14
10914192,10,5
4006526,7,2
7765545,13,8
8005412,5,3
5100340,9,4
5829649,7,3
9831549,6,6
7703112,26,22
5940728,22,12
8019664,5,5
11294914,7,7
10949582,4,4
8864872,2,2
6919086,6,6
5868813,50,34
4946293,5,2
10236006,31,18
11246612,14,5
8096237,1,1
5773599,10,9
7402969,7,5
D439077,5,2
6213640,4,1
6703797,5,5
8280514,14,7
5238640,31,18
6233396,7,4
D740131,8,8
8092180,9,7
11343198,22,22
4191399,6,2
D744358,15,15
10844554,27,25
8449175,8,8
6080013,10,5
7012857,19,17
D670977,7,6
4823258,7,6
7094731,0,0
10621367,74,72
4312333,4,1
5362157,12,5
4130821,1,1
10043280,25,23
6668630,5,1
D267146,6,1
D331119,5,3
4689146,6,4
8682234,25,15
10002836,20,20
8738720,28,21
4431917,6,4
D464630,3,2
D418401,8,3
D780590,7,3
8253242,8,8
10845991,16,16
5022108,5,2
10978974,15,13
5220393,3,3
5636784,12,7
8029384,6,6
7068833,27,16
D570467,5,4
8313194,4,4
5572594,12,12
5488674,20,14
11084291,19,14
4510994,4,1
11413479,3,3
6918431,6,4
11401558,37,27
7554922,10,10
8335418,7,3
10805384,5,5
10293333,7,7
11436924,3,2
4472928,4,1
4062522,5,1
4295038,5,2
9728332,5,2
8450766,13,7
4305988,3,1
5299580,4,1
4735870,5,3
10306281,4,4
10114121,21,10
10819833,13,9
8665228,26,15
D856581,8,7
9124866,14,14
10292303,2,2
10854629,53,34
5507872,2,2
6142243,11,8
D682341,8,8
10155051,15,15
4484765,12,7
9426778,8,5
7753899,7,6
10516048,14,14
D588395,6,2
8970300,4,4
4504758,5,3
10984942,3,2
10241676,36,36
D435557,6,3
8893694,10,9
4542435,5,3
9307365,18,18
4952248,2,1
9945717,26,12
5326677,3,2
10285003,55,33
D542816,6,4
9408511,20,21
5916526,6,3
10841722,10,9
5689453,2,2
7423658,25,13
10527243,9,4
5870540,2,2
7320555,5,5
8555188,6,5
5599242,15,5
8713705,7,7
6087815,52,29
9302195,6,4
4217614,9,4
7608008,5,5
10118842,32,24
8976836,14,13
10383691,14,8
5477355,19,10
9232134,37,21
4530373,2,2
8180924,17,16
4292093,6,3
8060109,4,4
7075670,9,9
9166035,4,2
7222290,8,7
6864406,10,10
9649708,12,7
4561870,3,2
6801666,23,17
9070684,8,8
D415984,4,4
9547513,4,4
6127795,2,2
D408828,7,5
6136658,34,14
4763845,8,5
10016526,8,6
6767344,11,11
7881180,124,108
9973379,14,14
9380315,5,4
7008343,5,5
10572830,14,13
6871985,6,3
9607182,10,4
4353279,3,3
D711104,7,7
5876740,2,2
9330063,5,5
10172352,5,5
10085490,24,9
5497158,9,4
D367523,4,3
8259061,28,24
4168105,3,1
8937341,13,5
9361071,62,14
4890869,9,3
9015485,5,5
9940319,9,8
6567186,5,2
7833191,6,4
D802684,6,4
D562512,8,7
4425057,31,8
5022868,14,6
8482510,10,9
10186803,7,5
6852905,9,8
9052329,19,13
4189339,6,4
8330461,16,10
10355866,6,4
7384323,14,5
6388332,8,7
10523235,8,4
10250856,6,6
