entity_id,patent_id,academic_title,patent_abstract
39789848.0,6447716,core type weld electrod,nickel-bas alloy use weld weld method weld electrod
1519655968.0,"6165753, 7390891",polypeptid nucleic acid molecul encod use,"disclos nucleic acid molecul encod novel cyclin e2 polypeptid also disclos method prepar nucleic acid molecul polypeptid method use molecul, disclos nucleic acid molecul encod polypeptid telomeras complex also disclos method prepar nucleic acid molecul polypeptid method use molecul"
1862620129.0,11342508,organ light emit materi organ light emit devic use,present specif relat organ light emit diod
1983066351.0,"5703076, 5510349, 5510349, 5622949, 5510349, 5703076, 5703076, 5482947, 5620977, 5482947, 5475013, 5703076, 5482947, 5614522, 5703076, 5698569, 5703076, 5482947",ration design potent bioavail nonpeptid cyclic urea hiv proteas inhibitor,"urea-contain hydroxyethylamin compound effect retrovir proteas inhibitor particular inhibitor hiv proteas, urea-contain hydroxyethylamin compound effect retrovir proteas inhibitor particular inhibitor hiv proteas, urea-contain hydroxyethylamin compound effect retrovir proteas inhibitor particular inhibitor hiv proteas, urea-contain hydroxyethylamin peptid compound effect retrovir proteas inhibitor particular inhibitor hiv proteas, urea-contain hydroxyethylamin compound effect retrovir proteas inhibitor particular inhibitor hiv proteas, urea-contain hydroxyethylamin compound effect retrovir proteas inhibitor particular inhibitor hiv proteas, urea-contain hydroxyethylamin compound effect retrovir proteas inhibitor particular inhibitor hiv proteas, urea-contain hydroxyethylamin compound effect retrovir proteas inhibitor particular inhibitor hiv proteas, urea-contain hydroxyethylamin peptid compound effect retrovir proteas inhibitor particular inhibitor hiv proteas, urea-contain hydroxyethylamin compound effect retrovir proteas inhibitor particular inhibitor hiv proteas, urea-contain hydroxyethylamin peptid compound effect retrovir proteas inhibitor particular inhibitor hiv proteas, urea-contain hydroxyethylamin compound effect retrovir proteas inhibitor particular inhibitor hiv proteas, urea-contain hydroxyethylamin compound effect retrovir proteas inhibitor particular inhibitor hiv proteas, urea-contain hydroxyethylamin compound effect retrovir proteas inhibitor particular inhibitor hiv proteas, urea-contain hydroxyethylamin compound effect retrovir proteas inhibitor particular inhibitor hiv proteas, urea-contain hydroxyethylamin peptid compound effect retrovir proteas inhibitor particular inhibitor hiv proteas, urea-contain hydroxyethylamin compound effect retrovir proteas inhibitor particular inhibitor hiv proteas, urea-contain hydroxyethylamin compound effect retrovir proteas inhibitor particular inhibitor hiv proteas"
2308313644.0,6644020,simul admiss exhaust process diesel engin,invent relat method regener particul filter exhaust system diesel engin increas temperatur exhaust gase brought post-inject fuel intak pressur map and/or air mass flow rate maf reduc function ambient temperatur engin prefer also engin load low throttl engin way proport burn unburn post-inject fuel stabil
2595576695.0,11367866,lithium ion batteri posit materi posit electrod batteri thereof,porou carbon particl posit electrod activ materi lithium secondari batteri includ may improv energi densiti lithium secondari batteri appli porou electrod contain micropor mesopor uniform size distribut shape posit electrod materi
2612998742.0,10163324,assembl batteri monitor apparatu assembl batteri monitor system,remot batteri monitor configur base upon data batteri abl monitor condit batteri batteri present circuit
2758781733.0,6958367,coat composit compris starch,coat composit compris
2789937994.0,10966918,topic skin formul compris plant extract,disclos method treat skin topic skin composit compris least one plant extract
2813057328.0,10802363,manufactur method devic organ thin film transistor,array substrat manufactur method thereof display devic drive method thereof array substrat includ first thin film transistor second thin film transistor pixel electrod pixel electrod electr connect first thin film transistor second thin film transistor one first thin film transistor second thin film transistor n-type thin film transistor anoth one p-type thin film transistor
2827074264.0,6051037,mixtur fiber-react azo dye method use dye hydroxy- and/or carboxamide-contain fiber materi,present invent concern dye mixtur fiber-react azo dye suitabl dye hydroxy- and/or carboxamido-contain materi cellulos fiber like cotton wool nylon bright orang red shade mixtur invent compris one monoazo dyestuff correspond gener formula one monoazo dyestuff correspond formula wherein gener formula defin given claim method prepar process dye hydroxy- and/or carboxamido contain fiber materi invent dye appli materi
2837276974.0,10994597,batteri energi storag system integr energi type power type control method thereof,energi storag system compris least one energi storag modul adapt suppli electr energi hybrid vehicl energi storag modul compris enclosur least one batteri array locat within enclosur energi storag control modul locat within enclosur electr connect batteri array energi storag modul compris compliant tip thermistor may instal within flexibl clip thermistor posit monitor temperatur one batteri within energi storag system
2845148251.0,5343970,combin electr motor intern combust engin drive train method oper motor vehicl,improv hybrid electr vehicl includ intern combust engin electr motor motor engin provid torqu drive vehicl directli control torqu transfer unit typic low speed traffic electr motor alon drive vehicl use power store batteri acceler hill climb engin motor provid torqu drive vehicl steadi state highway cruis intern combust engin alon drive vehicl intern combust engin size oper near maximum fuel effici highway cruis motor oper gener charg batteri need also regen brake transmiss employ motor oper significantli lower current higher voltag convent rate power least equal intern combust engin manner cost effici vehicl provid suffer perform disadvantag compar convent vehicl
2849585681.0,10386681,liquid crystal align composit liquid crystal align film liquid crystal display devic thereof,liquid crystal display devic contain pair substrat provid electrod liquid crystal layer form dispos liquid crystal composit pair substrat irradi cure liquid crystal composit ultraviolet ray use ultraviolet irradi apparatu wherein least one substrat provid liquid crystal align film vertic align liquid crystal liquid crystal composit contain liquid crystal curabl resin bifunct monom monom least one polar group hydroxi group carboxi group phosphor acid group liquid crystal align film liquid crystal align film obtain liquid crystal align agent contain polym specif side chain structur
2856950194.0,5698601,method produc rigid polyurethan foam composit therefor method thermal insul mean foam,complet open-cel rigid polyurethan foam produc subject closed-cel partial closed-cel rigid polyurethan foam appli extern pressur open-cel foam use fill materi insul panel insul foam
2859257465.0,"6958693, 6958693, 6958693, 6958693",imag sensor devic devic control system,"sensor devic method employ provid specif sensor devic adapt detect identifi and/or measur chemic and/or physic characterist upon placement devic environ especi liquid medium monitor sought provid, sensor devic method employ provid specif sensor devic adapt detect identifi and/or measur chemic and/or physic characterist upon placement devic environ especi liquid medium monitor sought provid, sensor devic method employ provid specif sensor devic adapt detect identifi and/or measur chemic and/or physic characterist upon placement devic environ especi liquid medium monitor sought provid, sensor devic method employ provid specif sensor devic adapt detect identifi and/or measur chemic and/or physic characterist upon placement devic environ especi liquid medium monitor sought provid"
2877137254.0,6651614,method control inake-air volum intern combust engin,method oper diesel intern combust engin wherein homogen mixtur form combust space spontan ignit mean fuel inject directli separ suppli combust air combust air admit combust space swirl flow longitudin axi cylind adjust regard swirl intens control element control unit adjust swirl intens manner coordin inject paramet provid homogen mixtur ignit predetermin point highli effect engin oper low emiss
2882300584.0,11050289,power suppli control circuit power suppli control method,provid power suppli circuit power suppli devic control method power suppli circuit includ primari rectifi unit modul unit transform secondari rectifi filter unit control unit power suppli circuit liquid electrolyt capacitor primari side remov volum power suppli circuit smaller safe use moreov output current power suppli circuit period chang current valu control unit control durat output current current valu
2923412069.0,7416789,semiconductor integr circuit devic electron devic,substrat semiconductor integr circuit compon includ substrat use electron devic also includ one semiconductor compon
2942716863.0,7484495,fuel injector intern combust engin,homogen charg compress ignit intern combust engin capabl reliabl reduc flame nois time high-load oper provid engin includ injector inject liquid hydrocarbon fuel intak port injector directli inject alcohol fuel combust chamber liquid hydrocarbon fuel distribut outer peripher side combust chamber alcohol fuel distribut central portion engin includ two intak valv divid intak stroke period one intak valv stop fuel-ga mixtur flown period intak valv oper flow suppress guid liquid hydrocarbon fuel combust chamber flow period inject alcohol fuel combust chamber flow suppress period
2957294125.0,"10033041, 10033043",prepar method lithium ion batteri posit electrod materi lithium ion batteri,"disclos herein artifici solid electrolyt interfac sei cathod materi use recharg batteri particularli lithium batteri artifici sei cathod materi includ structur cathod materi conduct polymer/carbon composit encapsul cathod materi form artifici solid electrolyt interfac sei around cathod secondari batteri conduct polymer/carbon composit weight artifici cathod materi also provid herein lithium secondari batteri includ cathod form artifici sei cathod materi render lithium secondari batteri reduc level equival seri resist esr enhanc level capacit long cycl life-tim, electrod binder lithium ion batteri compris"
